ERPMaterialID,Product Group,ListPrice,ListPriceCurrency,ObsoleteStatus
000000000007032573,XXX,         1.26,USD,0
000000000007319467,XXX,          2.00,USD,0
000000000007320497,XXX,         14.50,USD,0
E0024401,LHLI,          1.75,USD,0
E0060602,ENER,          8.01,USD,0
E0060902,ENER,          8.01,USD,0
E0072207,LITM,          1.50,USD,0
E0082802,MNPW,          0.68,USD,0
E0113214,ENER,          2.97,USD,0
E0113215,ENER,          2.97,USD,0
E0113222,ENER,          2.97,USD,0
E0113225,ENER,          2.97,USD,0
E0113600,ENER,          3.17,USD,0
E0113610,ENER,          3.17,USD,0
E0113900,ENER,          3.17,USD,0
E0116300,CZBR,          2.84,USD,0
E0116301,CZBR,          2.84,USD,0
E0134600,LHLI,          4.87,USD,1
E0136100,ENER,          3.17,USD,0
E0136104,ENER,          3.17,USD,0
E0136105,ENER,          3.17,USD,0
E0140007,ENER,          1.72,USD,0
E0140010,ENER,          1.72,USD,0
E0154609,ENER,          1.72,USD,0
E0154611,XXX,          1.72,USD,0
E0162600,RCHA,         15.73,USD,1
E0167804,LPLC,          6.19,USD,0
E0168700,INDA,          0.45,USD,0
E0168702,INDA,          0.45,USD,0
E0170803,LPLC,          2.09,USD,0
E0178602,EVEG,          7.82,USD,0
E0181906,ENER,         14.96,USD,0
E0185405,LHLI,         12.00,USD,0
E0191200,INDA,          1.38,USD,0
E01912E0,INDA,          1.38,USD,0
E0191900,INDA,          0.43,USD,0
E0221411,LALI,         17.85,USD,0
E0222110,LHFL,         13.05,USD,0
E0234607,LHLI,          7.82,USD,1
E0234610,LHLI,          7.82,USD,0
E0249310,LHLI,          7.82,USD,0
E0249311,LHLI,          7.82,USD,0
E0258200,MNRE,          0.63,USD,1
E0258402,PHOT,          2.19,USD,0
E0263409,RCHA,          6.52,USD,0
E0264307,EVEG,          4.13,USD,0
E0264504,EVEG,          4.13,USD,0
E0264603,EVEG,          4.42,USD,0
E0277003,LSPL,         23.64,USD,0
E0279400,XALK,          0.91,USD,0
E0279500,XALK,          1.64,USD,0
E0288500,EVEG,          2.51,USD,0
E0297504,MNRE,          1.03,USD,0
E0328011,MNRE,          1.67,USD,0
E0328310,MNRE,          1.67,USD,0
E0328408,MNRE,          1.67,USD,0
E0397705,XXX,          2.21,USD,0
E0454600,MNRE,          1.73,USD,0
E0454603,MNRE,          1.73,USD,0
E0497301,CZBR,          1.18,USD,1
E0513400,RCHA,         11.25,USD,1
E05285A0,CZBR,          4.82,USD,0
E05286A0,CZBR,          0.51,USD,0
E0529001,CZBR,          1.05,USD,0
E05685ZZ,EVEG,          1.12,USD,0
E05759ZZ,EVEG,          0.57,USD,0
E0590701,CZBR,          1.45,USD,0
E0599704,LHLI,          8.43,USD,0
E0621301,EVEG,          2.51,USD,0
E0622001,EVEG,          2.21,USD,0
E0622503,ENER,          3.17,USD,0
E0647006,ENER,          4.34,USD,0
E0647309,ENER,          4.34,USD,0
E0766310,ENER,          8.61,USD,0
E0791700,LITM,          3.32,USD,0
E0791715,LITM,          3.32,USD,0
E0791819,LITM,          6.47,USD,0
E0791825,LITM,          6.47,USD,0
E0793000,LITM,          3.32,USD,0
E0793011,LITM,          3.32,USD,1
E0801016,RECH,          8.76,USD,1
E0801100,RECH,          5.01,USD,0
E0801109,RECH,          5.01,USD,1
E0818100,MNRE,          1.58,USD,0
E0822203,MNRE,          0.91,USD,0
E0822302,MNRE,          0.91,USD,0
E0886303,MNRE,          0.91,USD,1
E0908100,EVEG,          2.21,USD,0
E0908106,EVEG,          2.21,USD,0
E0908307,EVEG,          2.40,USD,1
E0908505,EVEG,          2.06,USD,0
E0912301,CZBR,          0.54,USD,0
E0912501,CZBR,          0.59,USD,0
E09128ZZ,CZBR,          0.77,USD,0
E09129ZZ,CZBR,          0.76,USD,0
E0915901,CZBR,          2.21,USD,0
E0917100,RECH,          5.01,USD,0
E0917105,RECH,          5.01,USD,0
E0920106,PHOT,          3.88,USD,0
E0990910,ENER,          2.97,USD,0
E0990912,ENER,          2.97,USD,0
E0990918,ENER,          2.97,USD,0
E1073201,LHLI,          1.87,USD,0
E1079722,ENER,          5.61,USD,0
E1080501,ENER,          5.61,USD,0
E1080511,ENER,          5.61,USD,0
E1109002,MNRE,          0.63,USD,0
E1125101,LHLI,          6.90,USD,0
E1127502,MNRH,          5.99,USD,0
E1127602,MNRH,          5.99,USD,0
E1127702,MNRH,          5.99,USD,0
E1127801,MNRH,          2.99,USD,0
E1134201,LHLI,          3.81,USD,0
E1139501,MNRH,          2.99,USD,0
E1140401,LITM,          3.32,USD,0
E1140601,LITM,          3.32,USD,0
E1166801,CZBR,          0.28,USD,0
E1170401,CZBR,          1.20,USD,0
E300097100,XXX,          2.00,USD,0
E300098300,XXX,          2.00,USD,0
